link_id,url,category,platform,subcategory,source,status,notes,added_at
1,https://www.tiktok.com/@gadgetglimpse/video/7376304558559071530,bottle_warmer,tiktok,便携恒温杯,manual,pending,portable warmer roundup,2026-06-23
2,https://www.tiktok.com/@eugenie.strawderman/video/7440471494041275678,bottle_warmer,tiktok,便携恒温杯,manual,pending,bololo portable warmer,2026-06-23
3,https://www.tiktok.com/@babybrezza/video/7383388217879383339,bottle_warmer,tiktok,便携恒温杯,manual,pending,baby brezza superfast portable,2026-06-23
4,https://www.tiktok.com/@elliamalone/video/7280005363171151146,bottle_warmer,tiktok,便携恒温杯,manual,pending,momcozy portable review,2026-06-23
5,https://www.tiktok.com/@kaylatwinmom/video/7442474674031693099,bottle_warmer,tiktok,便携恒温杯,manual,pending,travel bottle warmer,2026-06-23
6,https://www.tiktok.com/@beeandtheboys/video/7158923548579499310,bottle_warmer,tiktok,便携恒温杯,manual,pending,on the go feeding,2026-06-23
7,https://www.tiktok.com/@courtneybb04/video/7426873794754546974,bottle_warmer,tiktok,便携恒温杯,manual,pending,portable warmer demo,2026-06-23
8,https://www.tiktok.com/@simply_chella/video/7506642110834281774,bottle_warmer,tiktok,便携恒温杯,manual,pending,mom must have warmer,2026-06-23
9,https://www.tiktok.com/@cupcakegaboo/video/7106665278041394478,bottle_warmer,tiktok,便携恒温杯,manual,pending,bottle warmer hack,2026-06-23
10,https://www.tiktok.com/@claudiadelrio1/video/7472050129772629290,bottle_warmer,tiktok,便携恒温杯,manual,pending,travel milk warmer,2026-06-23
11,https://www.tiktok.com/@brbvicky/video/7516360043470654750,bottle_warmer,tiktok,便携恒温杯,manual,pending,portable warmer review,2026-06-23
12,https://www.tiktok.com/@racheljoanmyers/video/7462847085394644270,bottle_warmer,tiktok,便携恒温杯,manual,pending,warming on the go,2026-06-23
13,https://www.tiktok.com/@chels_morgan97/video/7431553642110487838,bottle_warmer,tiktok,便携恒温杯,manual,pending,momcozy mw03,2026-06-23
